sceneName,sceneVersion,sceneStart,sceneEnd,sceneDuration,sceneTeoricDuration,stim0_position_xy,stim1_position_xy,stim0_contrastValue,stim1_contrastValue,correctValue,response,isCorrect
first,363,626.6692,627.4025,0.7333,0.73333335,(-275.0;0.0),(275.0;0.0),0.0098,0.0088,0,0,1
first,364,628.1025,628.6358,0.5333,0.53333336,(275.0;0.0),(-275.0;0.0),0.2235,0.2,1,1,1
first,365,629.3359,629.9690,0.6331,0.6333334,(-275.0;0.0),(275.0;0.0),0.0029,0.0,0,0,1
first,366,630.6693,631.1693,0.5000,0.5,(275.0;0.0),(-275.0;0.0),1.0,0.2,1,1,1
first,367,631.8696,632.3028,0.4332,0.43333337,(-275.0;0.0),(275.0;0.0),0.2421,0.05,0,0,1
first,368,633.0026,633.4198,0.4172,0.4166667,(275.0;0.0),(-275.0;0.0),0.2009,0.0088,1,1,1
first,369,634.1195,634.8528,0.7333,0.73333335,(275.0;0.0),(-275.0;0.0),0.0402,0.0167,1,1,1
first,370,635.5529,636.2196,0.6667,0.6666667,(275.0;0.0),(-275.0;0.0),0.0671,0.0,1,1,1
first,371,636.9198,637.3363,0.4165,0.4166667,(-275.0;0.0),(275.0;0.0),0.0838,0.0167,0,0,1
first,372,638.0364,638.4698,0.4334,0.43333337,(-275.0;0.0),(275.0;0.0),0.2088,0.0167,0,0,1
first,373,639.1698,640.0865,0.9167,0.9166667,(275.0;0.0),(-275.0;0.0),0.001,0.0,1,0,0
first,374,640.7867,641.2533,0.4667,0.4666667,(275.0;0.0),(-275.0;0.0),0.0323,0.0088,1,1,1
first,375,641.9533,642.4367,0.4833,0.48333335,(275.0;0.0),(-275.0;0.0),0.4582,0.45,1,0,0
first,376,643.1367,643.7035,0.5667,0.5666667,(-275.0;0.0),(275.0;0.0),0.0249,0.0167,0,0,1
first,377,644.4034,645.0369,0.6335,0.6333334,(275.0;0.0),(-275.0;0.0),0.0196,0.0167,1,1,1
first,378,645.7369,646.2033,0.4664,0.4666667,(275.0;0.0),(-275.0;0.0),1.0,0.2,1,1,1
first,379,646.9036,647.3701,0.4665,0.4666667,(-275.0;0.0),(275.0;0.0),0.75,0.2,0,0,1
first,380,648.0703,648.7203,0.6500,0.65000004,(275.0;0.0),(-275.0;0.0),0.0117,0.0088,1,1,1
first,381,649.4204,649.8871,0.4667,0.4666667,(275.0;0.0),(-275.0;0.0),0.0671,0.0,1,1,1
first,382,650.5871,651.1039,0.5168,0.5166667,(-275.0;0.0),(275.0;0.0),0.4735,0.45,0,0,1
first,383,651.8039,652.3041,0.5002,0.5,(-275.0;0.0),(275.0;0.0),0.0838,0.0167,0,0,1
first,384,653.0039,653.4876,0.4837,0.48333335,(-275.0;0.0),(275.0;0.0),0.0671,0.0,0,0,1
first,385,654.1873,654.8541,0.6668,0.6666667,(275.0;0.0),(-275.0;0.0),0.0235,0.0,1,1,1
first,386,655.5540,656.2207,0.6667,0.6666667,(275.0;0.0),(-275.0;0.0),0.2082,0.2,1,0,0
