sceneName,sceneVersion,sceneStart,sceneEnd,sceneDuration,sceneTeoricDuration,stim0_position_xy,stim1_position_xy,stim0_contrastValue,stim1_contrastValue,correctValue,response,isCorrect
first,104,299.6675,300.9508,1.2833,1.2833334,(275.0;0.0),(-275.0;0.0),0.0082,0.0,1,1,1
first,105,301.6507,302.6506,0.9999,1.0,(275.0;0.0),(-275.0;0.0),0.2009,0.0088,1,1,1
first,106,303.3508,304.4010,1.0502,1.0500001,(-275.0;0.0),(275.0;0.0),0.2235,0.2,0,1,0
first,107,305.1009,306.2010,1.1001,1.1,(-275.0;0.0),(275.0;0.0),0.0235,0.0,0,0,1
first,108,306.9010,308.0677,1.1668,1.1666667,(275.0;0.0),(-275.0;0.0),0.0117,0.0088,1,1,1
first,109,308.7676,309.8179,1.0503,1.0500001,(275.0;0.0),(-275.0;0.0),0.0402,0.0167,1,1,1
first,110,310.5181,311.6013,1.0832,1.0833334,(275.0;0.0),(-275.0;0.0),0.1171,0.05,1,1,1
first,111,312.3014,313.3177,1.0164,1.0166668,(275.0;0.0),(-275.0;0.0),0.2009,0.0088,1,1,1
first,112,314.0181,316.5013,2.4832,2.4833333,(-275.0;0.0),(275.0;0.0),0.0735,0.05,0,1,0
first,113,317.2016,318.2517,1.0501,1.0500001,(-275.0;0.0),(275.0;0.0),0.6421,0.45,0,0,1
first,114,318.9517,320.7352,1.7835,1.7833334,(275.0;0.0),(-275.0;0.0),0.2082,0.2,1,0,0
first,115,321.4351,322.5020,1.0668,1.0666667,(275.0;0.0),(-275.0;0.0),0.0759,0.0088,1,1,1
first,116,323.2018,324.1687,0.9669,0.9666667,(-275.0;0.0),(275.0;0.0),1.0,0.45,0,0,1
first,117,324.8685,326.1864,1.3179,1.3166667,(-275.0;0.0),(275.0;0.0),0.0177,0.0167,0,0,1
first,118,326.8854,327.9522,1.0668,1.0666667,(-275.0;0.0),(275.0;0.0),0.0029,0.0,0,0,1
first,119,328.6521,329.7190,1.0669,1.0666667,(-275.0;0.0),(275.0;0.0),0.4735,0.45,0,1,0
first,120,330.4190,332.7025,2.2835,2.2833335,(275.0;0.0),(-275.0;0.0),0.0402,0.0167,1,1,1
first,121,333.4026,334.4192,1.0166,1.0166668,(275.0;0.0),(-275.0;0.0),0.6,0.05,1,1,1
